id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_442;0;GmbH;25813;47430;2001;5.0;GKV;15056346.47;15056346.47;1494352.36;278393.87;-104888.99;255.56;105144.55;173504.88;174692.58;117448.85;5058250.8;4703198.42;87472.21;0.0;1920004.82;;;1632748.03;;;;;;572289.52;5030968.08;3964974.09;293973.51;3547038.06;;-961895.18;-7095.42;-1.22e-09
C_079;0;GmbH;24803;70109;2006;;GKV;33774.34;33774.34;27632.37;-3420.21;-87.0;;87.0;-3507.21;-3507.21;-3714.13;39902.5;5829.65;1506.29;0.0;;;;1580.73;;;;;;32566.56;29967.4;14362.37;10544.54;1069.1;;-3200.82;-4483.49;-2976.01
C_816;1;GmbH & Co. KG;37191;64200;1925;156.0;GKV;6177489.72;6177489.72;473523.49;77997.86;-10028.2;1413.82;11442.02;67969.66;67969.66;42227.95;1530025.04;1224070.71;140474.76;0.0;62695.98;;;922208.86;;;;;;165479.57;1352836.84;1286198.7;155598.92;;;83406.79;-130972.84;63996.19
C_725;0;GmbH;37115;86100;2005;349.0;GKV;39701213.02;39701213.02;2099772.36;483093.97;16638.6;22621.11;5988.51;499732.57;499732.57;348210.52;4040905.39;2690673.86;0.0;0.0;;;;2360713.62;;;;;;1350231.53;3941296.72;3016770.28;1144018.01;;;435453.58;-38466.36;-650000.0
C_692;0;GmbH;20259;85592;1990;439.0;GKV;4232139.52;5675976.17;2186397.13;144753.17;37641.36;2116.68;39540.1;182394.53;182394.53;126514.66;1404909.55;772773.04;0.0;0.0;;;;;;;;;;632136.51;1049631.38;882537.11;441888.39;191759.82;;680151.74;-183525.31;97792.12
C_170;0;GmbH;20359;18200;1993;;GKV;3661243.02;3661243.02;1001075.05;127514.71;-3586.25;1624.01;5210.26;123928.46;123928.46;87239.61;1102071.79;762180.6;57993.61;0.0;45053.32;57993.61;;197630.35;;;;;;281897.58;865711.73;457572.89;260884.4;;;193282.21;-64047.97;17151.59
C_699;0;AG;20539;52291;1995;102.0;GKV;66809.58;66809.58;66939.73;1189.56;;;;1189.56;1189.56;1218.35;79696.24;41016.12;0.0;300.0;;;;;;;;;;38380.12;62938.34;63183.79;;;;3690.89;-3278.2;-412.69
C_495;0;GmbH;20097;73200;1997;122.0;GKV;183708203.9;183708203.9;361282634.4;14571152.59;92585342.08;11685517.15;20416300.24;107156494.7;107156494.7;94370957.64;6633315552.0;5421427150.0;0.0;52917541.0;3465.45;;;3467063582.0;;;;;;1158970861.0;3122628872.0;3103777016.0;6351317.2;1692145554.0;;-40074707.82;372537.5;-19280.0
C_019;0;GmbH;21514;62020;1998;;GKV;311139650.1;310381798.6;123521413.7;6290231.89;-3954621.61;58388.39;4013010.0;2335610.28;2049210.28;1177472.56;156472756.7;66092146.83;18214000.0;34455800.0;7017791.0;16623000.0;5156000.0;17372412.11;;;;;;41154369.82;68954997.87;44553196.31;16571554.47;;;14912078.34;-19650137.54;-2702060.0
C_364;0;AG;16515;1500;2005;9.0;GKV;94474972.45;93752068.12;49836009.91;5254842.04;-2746346.61;88.99;1542812.97;2508495.43;2153851.43;1885844.37;67794024.33;29312381.68;0.0;24392724.0;;;;5874306.36;;;;;;18433668.75;55413660.65;15999600.78;1252865.81;9969054.58;;7726016.4;-7806272.65;6046284.64
C_746;0;GmbH;21217;71200;2005;;GKV;115936115.0;115936115.0;55026446.77;1153247.36;-1684687.34;158.85;1684846.19;-531439.98;-531439.98;-726200.81;44173075.9;34438588.65;0.0;1060246.0;337.3;;;1042748.49;;;;;;8674241.25;20655022.23;1468870.75;258693.44;;;4316059.41;-1824771.36;-2694892.74
C_261;0;GmbH & Co. KG;22299;47540;2006;;GKV;35000785.74;35000785.74;11737352.17;1924158.15;247635.94;300770.15;94427.64;2171794.09;2171794.09;1061791.38;73391037.83;63222696.25;500000.0;1234133.0;;;;216336.45;;;;;;8434208.58;71190746.94;71276833.77;16841898.79;;;10736317.62;67100.13;-40824.0
C_649;0;Einzelfirma;31848;43210;2000;;GKV;99516330.85;99516330.85;5111708.6;404128.58;-2210.08;1469.51;3679.59;401918.5;401918.5;240930.33;12209917.18;9455121.81;0.0;0.0;;;;4053629.4;;;;;;2754795.37;12117903.54;12114903.54;2807628.24;8665771.01;;-2017012.96;-40346.83;1580000.0
C_396;0;GmbH;30938;68310;1985;4.0;GKV;151729957.0;154121710.0;96949576.0;28538894.0;-797024.0;151392.0;62452.0;27741870.0;27741870.0;22067263.0;61663468.0;37195025.0;85000.0;41368.0;;;;11051400.0;;;;;;24290561.0;52012498.0;45153753.0;40037309.0;;;8931327.0;-450583.0;-29240170.0
C_262;0;Sonst. Gewerbetreibende;31303;43220;1999;;GKV;207739238.5;207739238.5;36990050.72;12455704.63;-1729925.96;30555.67;1760481.63;10725778.67;10725778.67;9199217.19;94077257.19;22972765.96;44436732.79;191885.74;;44436732.79;;8438541.06;;;;;;26475872.7;49942850.67;34755051.58;2477111.88;16596580.06;;-44754160.23;-471157.31;41186732.79
C_134;0;Sonst. Gewerbetreibende;30159;47420;2002;;GKV;8004591.0;8004591.0;8588878.0;156943.0;-19041.0;2104.0;21145.0;137902.0;137902.0;77128.0;10015007.0;5268924.0;0.0;290689.0;1000000.0;;;;;;;;;4455394.0;9637380.0;330866.0;280034.0;;;480586.0;-112150.0;661129.0
C_889;0;GmbH & Co. KG;30419;25920;2006;291.0;GKV;8758.84;8758.84;1310844.44;-632435.39;1518038.16;5407.15;31212.4;885602.77;885602.77;729482.35;8766189.75;1125215.41;333300.0;0.0;133360.0;333300.0;;71936.66;;;;;;7307674.34;1168342.1;1182681.33;299438.83;;;402224.93;-26739.78;-313606.41
C_389;0;GmbH;30853;43210;2007;317.0;UKV;94149420.0;;;3739424.0;-14358.0;2095.0;16453.0;3725066.0;3725066.0;0.0;22086897.0;17569043.0;609000.0;0.0;;;;6515052.0;;;;;;3908854.0;22086897.0;13807615.0;;11442281.0;;2237056.0;0.0;-2384066.0
C_522;0;GmbH;31595;43120;2007;47.0;GKV;126150.86;126150.86;72092.66;-6294.85;-1734.23;14.69;1748.92;-8029.08;-8029.08;-8943.39;42339.82;42339.82;0.0;0.0;13821.51;;;10552.5;;;;;;0.0;21453.86;19978.44;5614.48;;;-7385.9;-142.85;-3.64e-12
C_380;0;GmbH;31135;27400;1990;;GKV;878076.89;878076.89;678693.89;76209.94;-13555.33;23.02;13578.35;62654.61;62654.61;59715.61;338452.88;338452.88;0.0;0.0;;;;;;;;;;0.0;202022.1;136980.97;38571.01;;;73310.94;1.0;-61515.36
C_407;0;GmbH;31137;45100;1996;35.0;GKV;31569808.36;31569808.36;5609219.29;1026380.5;8075.21;9956.21;1881.0;1034455.71;1034455.71;683250.88;16170682.88;6110128.68;0.0;43395.0;;;;40228.32;;;;;;10017159.2;11137065.6;3706824.09;1007791.54;2593537.51;;-1093100.98;-1303471.19;0.0
C_053;0;GmbH;24145;70101;1973;;GKV;2773109.35;2494202.49;626557.01;88346.35;-3753.3;;3753.3;84593.05;84593.05;52845.0;1881743.61;1823682.11;0.0;0.0;;;;507089.78;;;;;;58061.5;1816710.23;486469.15;32302.64;420518.13;;66533.66;-8366.77;-29373.33
C_466;0;GmbH;23812;10830;1948;688.0;GKV;4653683.95;5077683.95;3066895.14;79670.51;-38718.76;26504.74;65223.5;40951.75;40951.75;23811.35;5084897.58;1893016.07;0.0;0.0;;;;;;;;;;3191881.51;4245591.92;896763.55;169891.56;;;422438.05;-43671.99;55677.16
C_509;0;GmbH;49084;28290;1997;150.0;GKV;1594158.6;1503858.6;510607.24;43683.72;-4371.19;58.81;4430.0;39312.53;39312.53;26816.42;294656.61;153567.45;82039.69;0.0;;;;61108.37;;;;;;59049.47;190135.65;167934.25;12625.58;;;93444.47;6419.02;-87627.08
C_088;0;GmbH;49090;70109;2006;;GKV;120425.06;120425.06;102473.74;16521.73;-3706.84;271.06;3977.9;12814.89;12814.89;12536.89;116960.33;68468.19;48492.14;0.0;7730.21;;;23029.49;;;;;;-3.64e-12;83620.64;69930.76;414.11;58964.6;;17487.97;11643.0;-38189.32
C_504;0;BGB-Gesellschaft;49565;35113;2006;;GKV;56000.0;56000.0;56018.2;23793.8;-3161.87;;3161.87;20631.93;20631.93;20631.93;648573.9;613797.5;0.0;0.0;;;;;;;;;;34776.4;79875.4;61905.4;61905.4;;;16081.29;-572102.28;2975.0
C_837;0;GmbH;21335;20520;1858;185.0;GKV;197930538.6;197272284.7;26947855.95;11889123.68;-153824.45;840.68;154855.42;11735299.23;11714843.23;-1.68e-08;40128120.37;35220620.37;0.0;2461973.0;;;;454217.93;;;;;;2445527.0;32809291.04;24618777.77;1012.13;24452421.93;;11658956.29;-1072492.01;-10881648.82
C_172;0;GmbH;21365;25110;1913;;GKV;1363259.16;1363259.16;340819.95;-72.84;72.84;72.84;;0.0;-4.02e-11;0.0;1147484.03;347484.03;0.0;0.0;;;;169505.29;;;;;;800000.0;373984.21;311936.72;311936.72;;;-12619.07;0.0;154236.38
C_519;0;GmbH;27572;22220;1986;45.0;GKV;18666830.88;18974875.88;9024886.3;1143918.89;-180365.15;12934.33;193299.48;963553.74;963553.74;709034.03;17170329.37;2880445.9;4262500.0;50000.0;1412500.0;4262500.0;50000.0;864204.71;;;;;;8078382.47;7021491.94;2985563.57;1687109.22;;;-2154134.71;-988402.48;2787500.0
C_987;0;GmbH;26180;68322;1993;;GKV;125457.51;125457.51;30061.62;1992.05;-54.0;;54.0;1938.05;1938.05;1710.05;75829.07;66096.94;9732.13;0.0;;;;7277.73;;;;;;1.46e-11;75468.07;4736.37;3057.21;;;2790.09;0.0;-438.6
